G,speed,plvD_r,aecD_r,plvT_r,aecT_r,plvA_r,aecA_r,plvB_r,aecB_r,plvG_r,aecG_r,Average,PLVavg,AECavg
16.2,6.7,0.330687398,0.266613638,0.395261899,0.310060386,0.414482773,0.27246859,0.350646504,0.378607109,0.251988205,0.337549567,0.330836607,0.348613356,0.313059858
16.4,7.5,0.283757892,0.201824629,0.419497638,0.317776905,0.396130994,0.275144799,0.333728814,0.373814277,0.218372704,0.336572005,0.315662066,0.330297608,0.301026523
16,5.5,0.308663652,0.242163747,0.374715088,0.308051092,0.388537832,0.292809751,0.324171815,0.363224073,0.242834204,0.308123637,0.315329489,0.327784518,0.30287446
16,5.7,0.255956067,0.207690134,0.371101746,0.303205155,0.411542348,0.271995109,0.343729234,0.361402995,0.229372875,0.373578955,0.312957462,0.322340454,0.30357447
16.8,9.1,0.306330922,0.166285944,0.349697656,0.24786239,0.419395094,0.248072237,0.365552622,0.389585139,0.278021846,0.309427499,0.308023135,0.343799628,0.272246642
16.2,6.3,0.269139476,0.144891944,0.370016182,0.305473377,0.372096885,0.229651041,0.323884596,0.39270493,0.276983738,0.337730459,0.302257263,0.322424175,0.28209035
15.4,4.7,0.292339362,0.200975789,0.369904909,0.316470079,0.354543052,0.193609578,0.300270611,0.356607049,0.298018782,0.333737309,0.301647652,0.323015343,0.280279961
16.4,6.7,0.262019247,0.186064668,0.359887425,0.289250394,0.433911581,0.286724194,0.358174469,0.343665241,0.211728078,0.284372696,0.301579799,0.32514416,0.278015439
14.6,3.9,0.302212327,0.201132715,0.386822243,0.280903361,0.369210886,0.259570171,0.34065221,0.312874397,0.249057586,0.271878573,0.297431447,0.32959105,0.265271843
15.8,5.1,0.224679301,0.166817627,0.34759261,0.356691537,0.376087613,0.27763257,0.287986472,0.369741715,0.230518273,0.324028277,0.2961776,0.293372854,0.298982345
16.6,7.1,0.331920767,0.190315586,0.358526311,0.244858058,0.409170982,0.232313855,0.339689739,0.333316977,0.237155244,0.274739619,0.295200714,0.335292609,0.255108819
16.6,8.7,0.226155249,0.148092243,0.376664792,0.246657929,0.351362252,0.285155438,0.341254903,0.363628208,0.278040547,0.304829223,0.292184078,0.314695549,0.269672608
16.8,7.9,0.283042761,0.141560005,0.355829915,0.246226591,0.410946922,0.251729625,0.363368211,0.364914412,0.205006631,0.298937257,0.292156233,0.323638888,0.260673578
17,8.3,0.240393058,0.181276241,0.332273393,0.318871672,0.40300191,0.231665561,0.302557509,0.354617123,0.173325842,0.340725595,0.28787079,0.290310342,0.285431238
16.2,5.9,0.262602165,0.188545353,0.335394233,0.323379548,0.376474789,0.265035077,0.268766892,0.337711452,0.235764341,0.283053269,0.287672712,0.295800484,0.27954494
16,5.3,0.236725114,0.109090763,0.347310109,0.316706182,0.382135457,0.269473255,0.302114933,0.38019326,0.2209849,0.285826514,0.285056049,0.297854103,0.272257995
15.6,4.7,0.288835457,0.147916275,0.377418126,0.28867355,0.385903993,0.255397362,0.286492165,0.315169443,0.240788206,0.263417081,0.285001166,0.315887589,0.254114742
15.8,4.7,0.194425201,0.13169023,0.34000338,0.306418038,0.395782888,0.282943184,0.310201523,0.332701671,0.249178842,0.305027063,0.284837202,0.297918367,0.271756037
16,5.1,0.194866277,0.188081915,0.336110726,0.33722863,0.361220756,0.278851288,0.262098269,0.337594887,0.215726244,0.330061542,0.284184053,0.274004454,0.294363652
17,8.7,0.324811254,0.145985288,0.345232707,0.23326357,0.400994637,0.240656214,0.358428318,0.307670051,0.20574518,0.272463503,0.283525072,0.327042419,0.240007725
16.8,7.5,0.220575615,0.19415313,0.320902377,0.317545407,0.378254761,0.247487004,0.305405833,0.336716199,0.205483527,0.290851646,0.28173755,0.286124423,0.277350677
15,3.9,0.277347813,0.160180675,0.34860007,0.276831369,0.379472173,0.174208494,0.335419663,0.321947961,0.252143054,0.274308099,0.280045937,0.318596555,0.24149532
17.2,9.5,0.307626619,0.136124569,0.331857027,0.272485245,0.369776324,0.213647974,0.351437468,0.322020974,0.210895771,0.284500009,0.280037198,0.314318642,0.245755754
16.4,6.3,0.289881006,0.128464014,0.36998021,0.263850586,0.380199141,0.276997252,0.306353133,0.331206918,0.181357291,0.264573229,0.279286278,0.305554156,0.2530184
