G,speed,peak
0.0,0.5,10.27684249906472
0.0,1.0,10.50879161990273
0.0,1.5,10.559296670407782
0.0,2.0,10.321735877291434
0.0,2.5,10.841750841750843
0.0,3.0,10.110362888140665
0.0,3.5,10.606060606060607
0.0,4.0,10.39468761690984
0.0,4.5,10.58361391694725
0.0,5.0,10.54059109614665
0.0,5.5,10.819304152637487
0.0,6.0,10.72764683875795
0.0,6.5,9.998129442573887
0.0,7.0,10.521885521885523
0.0,7.5,10.570520014964458
0.0,8.0,10.454545454545453
0.0,8.5,10.43958099513655
0.0,9.0,10.04863449307894
0.0,9.5,10.166479610924055
0.0,10.0,10.353535353535355
0.0,10.5,10.50130939019828
0.0,11.0,10.121586232697346
0.0,11.5,10.29928918817808
1.0,0.5,10.50692106247662
1.0,1.0,10.699588477366257
1.0,1.5,10.549943883277216
1.0,2.0,10.224466891133558
1.0,2.5,10.817433595211373
1.0,3.0,10.688365132809576
1.0,3.5,10.028058361391693
1.0,4.0,10.555555555555555
1.0,4.5,10.422745978301535
1.0,5.0,10.529367751589977
1.0,5.5,10.735129068462403
1.0,6.0,10.377852600074823
1.0,6.5,10.344182566404788
1.0,7.0,10.686494575383467
1.0,7.5,10.37598204264871
1.0,8.0,10.364758698092032
1.0,8.5,10.600448933782266
1.0,9.0,10.297418630751965
1.0,9.5,10.58174335952114
1.0,10.0,10.362888140665918
1.0,10.5,10.21885521885522
1.0,11.0,10.233819678264124
1.0,11.5,10.40778151889263
2.0,0.5,10.768799102132435
2.0,1.0,10.980172091283203
2.0,1.5,11.071829405162738
2.0,2.0,10.297418630751965
2.0,2.5,10.297418630751965
2.0,3.0,10.282454171343062
2.0,3.5,10.243172465394686
2.0,4.0,10.063598952487842
2.0,4.5,10.23943135054246
2.0,5.0,9.702581369248035
2.0,5.5,10.289936401047514
2.0,6.0,9.994388327721662
2.0,6.5,10.016835016835016
2.0,7.0,10.091657313879537
2.0,7.5,10.061728395061728
2.0,8.0,10.02431724653947
2.0,8.5,9.958847736625515
2.0,9.0,9.983164983164983
2.0,9.5,9.964459408903853
2.0,10.0,10.160867938645719
2.0,10.5,10.050505050505052
2.0,11.0,10.127197904975683
2.0,11.5,9.87467265245043
3.0,0.5,10.591096146651703
3.0,1.0,10.635989524878413
3.0,1.5,10.703329592218482
3.0,2.0,10.260007482229705
3.0,2.5,9.775533108866442
3.0,3.0,10.104751215862327
3.0,3.5,10.323606434717547
3.0,4.0,9.347175458286568
