G,speed,peak
0,0,10.448933782267117
0,1,10.45080433969323
0,2,10.751964085297418
0,3,10.241301907968573
0,4,10.548073325851108
0,5,10.190796857463528
0,6,10.463898241676016
0,7,10.340441451552564
0,8,10.768799102132435
0,9,10.800598578376356
0,10,10.598578376356151
0,11,10.673400673400671
0,12,10.134680134680137
0,13,10.707070707070708
0,14,10.265619154508043
0,15,10.542461653572763
0,16,10.75196408529742
0,17,10.518144407033297
0,18,10.692106247661805
0,19,10.153385708941268
0,20,10.357276468387582
0,21,10.102880658436213
0,22,10.304900860456417
0,23,10.731387953610176
0,24,10.441451552562663
1,0,10.230078563411896
1,1,10.47138047138047
1,2,10.46576879910213
1,3,10.303030303030305
1,4,10.424616535727646
1,5,10.473251028806583
1,6,10.396558174335953
1,7,10.222596333707443
1,8,10.710811821922931
1,9,10.404040404040405
1,10,10.731387953610176
1,11,10.473251028806583
1,12,10.28993640104751
1,13,10.480733258511037
1,14,10.426487093153762
1,15,10.381593714927051
1,16,10.516273849607185
1,17,10.789375233819678
1,18,10.564908342686119
1,19,10.29554807332585
1,20,10.538720538720538
1,21,10.437710437710436
1,22,10.460157126823793
1,23,10.3890759446315
1,24,10.514403292181072
2,0,9.947624392068835
2,1,10.372240927796485
2,2,10.248784137673027
2,3,10.243172465394686
2,4,10.718294051627383
2,5,10.263748597081932
2,6,10.291806958473623
2,7,10.224466891133561
2,8,10.948372615039284
2,9,10.349794238683131
2,10,10.203890759446312
2,11,10.151515151515154
2,12,10.361017583239807
2,13,10.411522633744855
2,14,10.4320987654321
2,15,10.140291806958476
2,16,10.175832398054624
2,17,10.132809577254024
2,18,10.340441451552564
2,19,10.246913580246916
2,20,10.181444070332958
2,21,10.321735877291431
2,22,10.828656939768052
2,23,10.375982042648706
2,24,9.919566030677142
3,0,9.897119341563787
3,1,9.940142162364383
3,2,10.286195286195284
3,3,10.194537972315752
3,4,9.928918817807707
3,5,10.07482229704452
3,6,10.102880658436217
3,7,10.22633744855967
3,8,9.893378226711564
3,9,9.983164983164984
3,10,10.039281705948373
3,11,9.586606808829034
3,12,10.00561167227834
3,13,9.835390946502056
3,14,9.880284324728768
3,15,9.945753834642725
3,16,9.979423868312756
3,17,9.863449307893752
3,18,9.777403666292557
3,19,9.762439206883652
3,20,10.164609053497944
3,21,10.43958099513655
3,22,9.824167601945382
3,23,10.000000000000002
3,24,9.902731013842123
4,0,9.06472128694351
4,1,9.408903853348301
4,2,9.435091657313878
4,3,9.124579124579126
4,4,9.461279461279462
4,5,9.951365506921064
4,6,9.55854844743734
4,7,9.569771791994016
4,8,9.713804713804716
4,9,9.762439206883652
4,10,9.279835390946504
4,11,9.169472502805837
4,12,9.319117096894873
4,13,9.549195660306774
4,14,9.812944257388702
4,15,9.508043396932283
4,16,9.289188178077069
4,17,9.676393565282456
4,18,9.392068836513284
4,19,9.472502805836141
4,20,9.717545828656938
4,21,9.219977553310887
4,22,9.320987654320989
4,23,9.493078937523382
4,24,9.629629629629632
5,0,8.75233819678264
5,1,8.636363636363637
5,2,8.931911709689489
5,3,8.61952861952862
5,4,8.383838383838384
5,5,8.015338570894126
5,6,8.464272353161244
5,7,8.625140291806959
5,8,8.617658062102505
5,9,8.38757949869061
5,10,8.800972689861581
5,11,8.09203142536476
5,12,9.234942012719788
5,13,8.269734380845494
