G,speed,peak
0.5,0.5,3.81283422459893
0.5,2.5,3.6577540106951867
0.5,4.5,4.026737967914439
0.5,6.5,3.846702317290552
0.5,8.5,3.880570409982175
0.5,10.5,3.834224598930481
0.5,12.5,3.9286987522281636
0.5,14.5,4.336898395721925
0.5,16.5,4.007130124777183
0.5,18.5,3.919786096256685
3.5,0.5,4.149732620320855
3.5,2.5,3.873440285204991
3.5,4.5,3.8680926916221026
3.5,6.5,3.609625668449198
3.5,8.5,4.078431372549019
3.5,10.5,3.9483065953654193
3.5,12.5,4.155080213903743
3.5,14.5,4.335115864527629
3.5,16.5,4.03921568627451
3.5,18.5,4.566844919786097
6.5,0.5,3.7272727272727266
6.5,2.5,4.194295900178253
6.5,4.5,3.9358288770053482
6.5,6.5,4.057040998217468
6.5,8.5,4.276292335115864
6.5,10.5,4.076648841354724
6.5,12.5,3.934046345811052
6.5,14.5,3.971479500891265
6.5,16.5,4.02139037433155
6.5,18.5,4.3707664884135475
9.5,0.5,3.9679144385026746
9.5,2.5,4.5597147950089125
9.5,4.5,3.8395721925133683
9.5,6.5,4.183600713012478
9.5,8.5,4.217468805704099
9.5,10.5,4.338680926916221
9.5,12.5,4.017825311942958
9.5,14.5,4.0
9.5,16.5,3.9269162210338684
9.5,18.5,3.4563279857397506
12.5,0.5,3.864527629233512
12.5,2.5,3.3636363636363633
12.5,4.5,4.254901960784313
12.5,6.5,4.092691622103387
12.5,8.5,3.9108734402852052
12.5,10.5,3.989304812834225
12.5,12.5,3.971479500891266
12.5,14.5,3.805704099821747
12.5,16.5,3.6987522281639924
12.5,18.5,4.377896613190731
15.5,0.5,3.4901960784313726
15.5,2.5,3.50445632798574
15.5,4.5,3.5080213903743314
15.5,6.5,3.6773618538324424
15.5,8.5,3.695187165775401
15.5,10.5,4.452762923351159
15.5,12.5,3.7807486631016043
15.5,14.5,3.7700534759358293
15.5,16.5,4.114081996434938
15.5,18.5,4.142602495543672
18.5,0.5,3.557932263814617
18.5,2.5,3.975044563279858
18.5,4.5,3.787878787878788
18.5,6.5,4.190730837789661
18.5,8.5,3.8377896613190727
18.5,10.5,3.5276292335115866
18.5,12.5,4.29590017825312
18.5,14.5,3.6916221033868095
18.5,16.5,3.631016042780749
18.5,18.5,4.245989304812834
21.5,0.5,3.6488413547237073
21.5,2.5,4.511586452762924
21.5,4.5,4.354723707664885
21.5,6.5,3.9768270944741535
21.5,8.5,3.6809269162210336
21.5,10.5,3.7308377896613187
21.5,12.5,4.099821746880571
21.5,14.5,4.051693404634581
21.5,16.5,4.4420677361853835
21.5,18.5,3.869875222816399
24.5,0.5,3.909090909090909
24.5,2.5,3.8467023172905526
24.5,4.5,4.511586452762923
24.5,6.5,4.131907308377897
24.5,8.5,4.030303030303031
24.5,10.5,3.647058823529412
24.5,12.5,3.8859180035650627
24.5,14.5,3.93048128342246
24.5,16.5,3.7183600713012477
24.5,18.5,3.7308377896613183
27.5,0.5,4.115864527629233
27.5,2.5,4.153297682709447
27.5,4.5,3.8573975044563276
27.5,6.5,4.117647058823529
27.5,8.5,3.5436720142602494
27.5,10.5,4.181818181818181
27.5,12.5,3.8716577540106947
27.5,14.5,4.194295900178253
27.5,16.5,3.6310160427807485
27.5,18.5,3.714795008912656
30.5,0.5,3.7896613190730837
30.5,2.5,3.6524064171122994
30.5,4.5,4.126559714795009
30.5,6.5,4.413547237076649
30.5,8.5,4.254901960784314
30.5,10.5,3.983957219251336
30.5,12.5,3.905525846702318
30.5,14.5,4.1051693404634575
30.5,16.5,3.973262032085562
30.5,18.5,3.6720142602495542
33.5,0.5,3.871657754010695
33.5,2.5,4.0855614973262036
33.5,4.5,3.9429590017825307
33.5,6.5,3.5454545454545454
33.5,8.5,3.8502673796791447
33.5,10.5,4.153297682709447
33.5,12.5,3.7807486631016043
33.5,14.5,3.7860962566844925
33.5,16.5,3.9215686274509802
33.5,18.5,4.5347593582887695
36.5,0.5,4.122994652406417
36.5,2.5,4.126559714795009
36.5,4.5,4.324420677361854
36.5,6.5,3.983957219251337
36.5,8.5,3.527629233511586
36.5,10.5,3.766488413547237
36.5,12.5,3.8645276292335113
36.5,14.5,3.9233511586452763
36.5,16.5,3.7825311942959
36.5,18.5,4.001782531194296
39.5,0.5,4.445632798573975
39.5,2.5,4.076648841354724
39.5,4.5,3.7254901960784315
39.5,6.5,4.051693404634581
39.5,8.5,3.5989304812834226
39.5,10.5,3.6702317290552586
39.5,12.5,4.210338680926916
39.5,14.5,3.976827094474153
39.5,16.5,4.18716577540107
39.5,18.5,4.181818181818182
42.5,0.5,4.163992869875224
42.5,2.5,3.689839572192514
42.5,4.5,3.768270944741533
42.5,6.5,3.4991087344028524
42.5,8.5,3.973262032085561
42.5,10.5,3.9643493761140824
42.5,12.5,3.9554367201426026
42.5,14.5,3.8609625668449197
42.5,16.5,3.843137254901961
42.5,18.5,4.042780748663102
45.5,0.5,4.290552584670232
45.5,2.5,3.6506238859180034
45.5,4.5,4.340463458110517
45.5,6.5,4.301247771836008
45.5,8.5,3.6452762923351156
45.5,10.5,3.7843137254901964
45.5,12.5,4.4153297682709445
45.5,14.5,4.0606060606060606
45.5,16.5,4.023172905525847
45.5,18.5,3.7147950089126556
48.5,0.5,3.7557932263814617
48.5,2.5,3.7112299465240643
48.5,4.5,4.053475935828876
48.5,6.5,3.777183600713012
48.5,8.5,3.8288770053475933
48.5,10.5,4.171122994652407
48.5,12.5,4.051693404634581
48.5,14.5,3.889483065953654
48.5,16.5,4.383244206773618
48.5,18.5,3.9251336898395723
51.5,0.5,4.089126559714795
51.5,2.5,3.8591800356506236
51.5,4.5,3.901960784313726
51.5,6.5,3.8520499108734407
51.5,8.5,3.8092691622103385
51.5,10.5,4.096256684491979
51.5,12.5,3.696969696969697
51.5,14.5,3.750445632798574
51.5,16.5,4.042780748663103
51.5,18.5,3.957219251336898
54.5,0.5,3.857397504456328
54.5,2.5,4.151515151515151
54.5,4.5,3.5971479500891266
54.5,6.5,4.199643493761141
54.5,8.5,3.975044563279858
54.5,10.5,3.513368983957219
54.5,12.5,3.932263814616756
54.5,14.5,4.03921568627451
54.5,16.5,4.495543672014261
54.5,18.5,3.8467023172905526
57.5,0.5,3.6238859180035656
57.5,2.5,3.846702317290553
57.5,4.5,3.7664884135472367
57.5,6.5,4.014260249554368
57.5,8.5,4.019607843137255
57.5,10.5,3.737967914438502
57.5,12.5,3.7023172905525845
57.5,14.5,4.311942959001783
57.5,16.5,3.645276292335116
57.5,18.5,3.932263814616756
60.5,0.5,3.887700534759358
60.5,2.5,4.215686274509803
60.5,4.5,3.9928698752228167
60.5,6.5,3.9126559714795013
60.5,8.5,3.934046345811052
60.5,10.5,3.887700534759358
60.5,12.5,4.206773618538324
60.5,14.5,3.869875222816399
60.5,16.5,3.524064171122994
60.5,18.5,4.260249554367202
63.5,0.5,4.319073083778966
63.5,2.5,3.983957219251337
63.5,4.5,3.686274509803922
63.5,6.5,4.055258467023172
63.5,8.5,4.112299465240642
63.5,10.5,3.8003565062388596
63.5,12.5,4.008912655971479
63.5,14.5,3.916221033868092
63.5,16.5,4.313725490196078
63.5,18.5,3.9429590017825307
66.5,0.5,4.385026737967915
66.5,2.5,4.297682709447415
66.5,4.5,3.450980392156862
66.5,6.5,4.007130124777184
66.5,8.5,4.290552584670231
66.5,10.5,4.17825311942959
66.5,12.5,4.083778966131907
66.5,14.5,3.6488413547237077
66.5,16.5,3.5044563279857397
66.5,18.5,3.426024955436721
69.5,0.5,4.2513368983957225
69.5,2.5,4.206773618538325
69.5,4.5,3.880570409982175
69.5,6.5,4.101604278074866
69.5,8.5,3.645276292335116
69.5,10.5,3.7647058823529416
69.5,12.5,3.896613190730838
69.5,14.5,3.8770053475935833
69.5,16.5,3.9251336898395732
69.5,18.5,3.9768270944741535
72.5,0.5,4.233511586452764
72.5,2.5,4.664884135472372
72.5,4.5,4.23885918003565
72.5,6.5,3.6524064171122994
72.5,8.5,3.6951871657754007
72.5,10.5,3.8377896613190727
72.5,12.5,3.7308377896613196
72.5,14.5,4.069518716577539
72.5,16.5,4.1782531194295895
72.5,18.5,4.493761140819964
75.5,0.5,4.165775401069519
75.5,2.5,4.037433155080214
75.5,4.5,4.518716577540106
75.5,6.5,3.971479500891266
75.5,8.5,4.1568627450980395
75.5,10.5,3.8003565062388596
75.5,12.5,3.9358288770053482
75.5,14.5,3.7094474153297683
75.5,16.5,4.005347593582887
75.5,18.5,4.408199643493761
78.5,0.5,4.338680926916221
78.5,2.5,3.6720142602495542
78.5,4.5,3.8752228163992872
78.5,6.5,3.6007130124777187
78.5,8.5,3.893048128342246
78.5,10.5,4.19607843137255
78.5,12.5,3.8431372549019605
78.5,14.5,4.067736185383244
78.5,16.5,4.162210338680928
78.5,18.5,3.999999999999999
81.5,0.5,4.1283422459893035
81.5,2.5,4.0802139037433145
81.5,4.5,4.240641711229946
81.5,6.5,4.126559714795009
81.5,8.5,4.122994652406417
81.5,10.5,4.541889483065954
81.5,12.5,3.8360071301247767
81.5,14.5,3.8021390374331547
81.5,16.5,3.918003565062388
81.5,18.5,3.8110516934046346
84.5,0.5,4.2745098039215685
84.5,2.5,4.342245989304813
84.5,4.5,4.001782531194295
84.5,6.5,3.798573975044564
84.5,8.5,3.9554367201426026
84.5,10.5,4.122994652406417
84.5,12.5,4.121212121212121
84.5,14.5,4.215686274509804
84.5,16.5,4.171122994652406
84.5,18.5,3.593582887700535
87.5,0.5,3.853832442067736
87.5,2.5,4.8181818181818175
87.5,4.5,4.254901960784314
87.5,6.5,3.6737967914438503
87.5,8.5,4.03921568627451
87.5,10.5,4.222816399286987
87.5,12.5,4.024955436720142
87.5,14.5,4.276292335115864
87.5,16.5,4.019607843137255
87.5,18.5,3.9625668449197864
