G,speed,peak
0,1,10.506921062476618
0,3,10.3890759446315
0,5,10.67153011597456
0,7,10.338570894126448
0,9,10.61541339319117
0,11,10.297418630751965
0,13,10.566778900112233
0,15,10.411522633744855
0,17,10.331088664422
0,19,10.609801720912833
2,1,10.374111485222597
2,3,10.220725776281332
2,5,9.79236812570146
2,7,10.11784511784512
2,9,9.95510662177329
2,11,10.082304526748972
2,13,9.897119341563787
2,15,10.03741114852226
2,17,10.035540591096147
2,19,9.631500187055742
4,1,10.892255892255895
4,3,8.653198653198652
4,5,8.51290684624018
4,7,7.472876917321361
4,9,5.959595959595959
4,11,5.802469135802469
4,13,5.802469135802469
4,15,5.802469135802469
4,17,5.925925925925926
4,19,5.925925925925926
6,1,10.158997381219605
6,3,7.618780396558174
6,5,4.6913580246913575
6,7,5.061728395061729
6,9,5.308641975308643
6,11,5.4320987654321
6,13,5.555555555555556
6,15,5.555555555555556
6,17,5.679012345679012
6,19,5.679012345679012
8,1,10.832398054620278
8,3,3.561541339319117
8,5,4.320987654320989
8,7,4.6913580246913575
8,9,5.33857089412645
8,11,5.061728395061729
8,13,5.061728395061729
8,15,5.185185185185183
8,17,5.308641975308643
8,19,5.308641975308643
10,1,11.25514403292181
10,3,2.802095024317247
10,5,3.827160493827161
10,7,4.197530864197531
10,9,4.444444444444444
10,11,4.567901234567901
10,13,5.005611672278338
10,15,4.6913580246913575
10,17,4.814814814814817
10,19,4.814814814814817
12,1,11.526374859708195
12,3,5.7126823793490455
12,5,3.2098765432098766
12,7,3.5802469135802473
12,9,3.827160493827161
12,11,3.9506172839506175
12,13,4.074074074074075
12,15,4.197530864197531
12,17,4.197530864197531
12,19,4.575383464272354
14,1,9.732510288065843
14,3,7.418630751964086
14,5,4.39768050879162
14,7,2.71604938271605
14,9,3.5447063224841004
14,11,3.2098765432098766
14,13,3.3333333333333335
14,15,3.456790123456791
14,17,3.456790123456791
14,19,3.5802469135802473
16,1,8.806584362139919
16,3,8.241676019453797
16,5,7.596333707444819
16,7,6.956603067714178
16,9,6.68163112607557
16,11,6.831275720164609
16,13,6.7714178825289935
16,15,6.791994014216237
16,17,6.962214739992518
16,19,6.790123456790123
18,1,9.547325102880658
18,3,8.365132809577254
18,5,8.518518518518517
18,7,8.378226711560046
18,9,8.372615039281706
18,11,8.37448559670782
18,13,8.464272353161244
18,15,8.428731762065098
18,17,8.417508417508417
18,19,8.387579498690611
20,1,9.128320239431353
20,3,7.693602693602693
20,5,8.423120089786755
20,7,9.05349794238683
20,9,8.398802843247289
20,11,8.559670781893004
20,13,8.612046389824167
20,15,8.46988402543958
20,17,8.492330714552935
20,19,8.441825664047885
24,1,9.377104377104379
24,3,8.432472876917323
24,5,8.309016086793866
24,7,8.88327721661055
24,9,7.933034044145155
24,11,9.074074074074074
24,13,8.892630003741118
24,15,8.90759446315002
24,17,8.320239431350542
24,19,8.196782641227086
28,1,8.108866442199776
28,3,5.710811821922933
28,5,6.702207257762814
28,7,6.318742985409653
28,9,6.917321361765807
28,11,5.755705200149645
28,13,8.363262252151141
28,15,7.64122708567153
28,17,8.602693602693604
28,19,7.196034418256641
32,1,7.312008978675646
32,3,6.200897867564535
32,5,5.669659558548447
32,7,6.290684624017958
32,9,7.250280583613918
32,11,5.566778900112235
32,13,5.802469135802468
32,15,6.848110736999627
32,17,8.058361391694724
32,19,9.457538346427237
36,1,6.092405536849981
36,3,20.748222970445187
36,5,19.986906098017208
36,7,21.524504302282082
36,9,21.535727646838765
36,11,19.268612046389826
36,13,20.63786008230453
36,15,20.995136550692102
36,17,19.940142162364385
36,19,20.725776281331843
40,1,138.1406659184437
40,3,26.992143658810328
40,5,19.964459408903853
40,7,175.6939768050879
40,9,185.7239057239057
40,11,196.6947250280584
40,13,27.85447063224841
40,15,195.2020202020202
40,17,183.66255144032922
40,19,29.97942386831276
50,1,
50,3,
50,5,
50,7,
50,9,
50,11,
50,13,
50,15,
50,17,
50,19,
